Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
100,105.0069474,109.6232823,104.6847845,214.1372387,196.6695875,114.4799036,108.0716873,417.7071515,205.9355668,88.73498488,47.13602886,200.3000189,181.0915383,69.84958238,46.57534247,174.3550967,119.829741,57.59944121,35.08561226,137.6695291,347.6430572,332.546767,56.48089898,65.81047753,100,94.18959203,96.66150589,86.77499081,183.435716,175.3411955,102.5660859,93.40575378,369.5752615,185.6435644,73.30244007,43.86149789,153.7844017,170.1271315,65.76896166,47.61233679,136.5654874,124.3057379,54.95941414,38.74375209,126.7945394,307.6982577,286.9686307,43.79159904,33.02392095,100,94.60063428,101.5429943,88.53384358,190.0765021,176.4160667,104.9226672,93.19372093,372.5294606,182.3640193,74.53316535,44.47685448,148.7250872,165.64188,63.38259064,47.49684433,132.5646182,122.5257917,57.32096706,34.92037445,130.9966635,329.9723892,294.1291637,47.99346412,33.93650393,100,113.8291663,122.5131847,112.6851256,235.1171672,219.4276782,139.93119,128.6622099,486.8376434,228.5898261,96.04915576,59.19116649,190.6086299,214.0472651,74.8854047,60.14662489,164.1667583,148.415075,61.50989432,44.72776558,152.9552289,406.1516533,397.939993,70.61079266,48.29362524,100,101.545669,112.392966,95.95583119,208.3483454,201.1218759,119.64308,101.1009413,419.93728,224.9863059,85.65908253,51.48888525,192.731718,209.4269463,70.24393323,55.8949796,162.2445614,145.1159473,57.81042233,41.74169968,141.4733845,333.8098787,310.7874734,58.64876558,44.61173087,100,92.60433574,94.88379902,80.62603747,175.4962211,170.2262258,97.4854389,87.48336137,353.1646041,175.4962211,82.31707355,47.72257955,156.1676626,163.348258,66.05827971,46.58971474,135.9139661,115.0290048,55.00314681,33.95262287,121.8885205,291.4836905,292.2158691,47.72257955,38.23693502,Q
100,157.9914281,139.0839146,135.889124,272.2512607,274.6364152,153.5480961,92.53633939,506.4395719,303.8573186,92.53633939,83.88518225,247.9613199,272.3978907,83.88518225,84.72721271,204.3499897,206.8103063,75.35961061,84.77956193,171.0700508,242.460837,319.2376892,97.57723774,57.83880798,100,146.7908816,133.975524,132.2746694,264.128838,260.9929221,126.6785656,86.27429772,463.9806254,292.8094924,77.4748924,60.80235323,251.5470065,255.9598792,77.26204888,78.79213898,181.4793492,191.995374,71.9652006,80.03630233,144.1019171,269.4525294,260.1713927,106.2080661,59.1550305,100,107.9795601,113.5361778,113.3301437,226.6717438,192.904109,135.1510939,106.1361078,433.1010291,198.9087395,90.81521807,69.90821171,163.4019304,173.8730133,80.02301671,70.75740518,146.1724495,131.5484931,74.51131597,67.75783385,127.7224819,305.5653246,353.4124887,56.97356427,49.98111258,100,144.278947,162.72467,153.0609106,315.7840076,281.3632819,192.8105654,154.7981658,628.1131359,281.903202,125.9627613,99.9698772,229.39716,261.9656531,114.4468721,104.533759,203.9127136,199.5197124,105.7307495,96.28282867,180.2450784,381.4238992,505.1813472,79.38892922,68.69560698,100,123.5739319,128.1131024,127.0005055,254.7541868,240.3945482,157.72905,129.2161197,526.0970576,242.5397899,92.66130597,77.57176227,181.4532378,216.819667,84.6576909,84.6576909,153.1409947,169.9219865,77.4344265,82.06138413,126.328244,313.7551946,410.3069206,73.29151035,63.31840343,100,103.3593445,95.04301423,86.22167662,180.5446361,194.2822678,122.7314774,101.8233248,416.925892,198.8098408,73.63888644,59.23279437,163.2339297,176.2843151,66.77314282,62.13506863,137.3108178,132.6408766,61.64831459,63.31729244,113.9385888,197.6524985,319.9721206,61.98570527,48.13924602,Q
100,129.930304,147.8436079,126.7748479,274.2559287,199.6613298,120.2691808,111.5906749,431.3773842,256.2859455,65.82532954,27.42559287,269.5747233,232.4097975,74.57120269,58.97415492,198.3854223,164.8073022,66.69851135,53.3057709,164.3385438,246.1522292,198.369219,96.54884769,58.97415492,100,135.2284515,139.366289,117.0985745,256.2020693,216.744064,129.0840841,114.6600905,460.1942016,244.097483,70.77374697,42.66550167,229.0606221,222.1521471,67.46008139,55.72516907,196.1709607,163.2689558,61.02437075,48.1050803,169.1564964,283.1790297,294.950565,69.33009953,55.61831342,100,150.1368438,164.4621651,133.4337136,297.2094002,216.1830387,149.1461576,129.4295053,494.2945809,288.9133107,81.67710319,20.73447619,352.9379266,263.0769214,85.2733992,66.96637014,226.6284103,188.1924275,74.31170195,63.32536537,186.2524517,273.3574277,184.8542902,155.5681419,65.8501858,100,194.2653128,212.8801165,167.3825138,380.2609163,277.0976082,168.5231233,154.3190527,599.6650606,372.0326659,121.8956052,64.64201278,554.0871841,336.2816258,100.8815207,94.44528764,267.1316134,232.7616617,91.61385671,75.96712249,225.9491726,273.5534308,43.35627711,338.1987874,79.88509606,100,115.1498491,122.2575165,98.14157444,219.8879117,190.1908129,113.6443084,96.25751156,399.8351839,213.0290373,66.81979536,47.34092315,200.8288167,191.4020132,58.80195381,47.6621934,176.2451271,141.3303091,50.15833013,42.02257632,143.2303248,240.5690262,260.7056009,59.83106612,51.57272514,100,98.93804753,109.3025878,100.229693,209.1873842,176.4552887,109.7405165,99.92471175,385.8275914,185.8894739,70.03762719,41.7623721,170.8943618,165.8576191,60.26673497,43.90017967,153.5583739,119.5345315,52.24471081,35.49801629,136.9907661,256.2607349,284.9956804,54.1704814,46.36375718,Q
100,39.38394905,37.15474322,29.90252334,66.8708974,45.05674435,29.74956825,24.83522782,99.56568031,46.58013312,29.97870824,23.41704207,99.72591947,19.31774612,29.74956825,18.37365943,28.79895583,15.10305502,23.63036943,16.26648808,27.35279599,89.45293547,0.95520107,138.0819055,17.08715619,100,38.19751045,37.38247438,28.95937906,66.20656656,44.3388454,30.15039152,25.32833021,99.71994196,46.65034431,27.58994591,23.91660185,98.0737714,19.89981561,29.14113427,17.92211367,27.34968056,15.47131567,22.07992926,16.1938804,25.17149693,90.29537524,3.38231827,134.9834154,15.52809133,100,38.25483045,36.97320253,29.87797771,66.6802138,43.76498948,28.89666265,25.05102988,97.63692211,46.13960571,27.91168854,23.65475744,97.49575172,19.83443897,28.82209049,18.64886922,28.08080525,15.30193218,22.05393269,16.93105176,26.14400223,87.69210349,1.312129859,134.6867906,15.35808625,100,37.51824025,36.71769805,28.84451459,65.36127467,43.55036321,29.61422405,24.89497113,98.02026108,44.93203848,27.71880394,22.58850211,95.05212365,19.69737246,29.61422405,17.72356405,27.88675196,15.44554926,22.79428154,15.77189972,25.96333328,89.14317975,3.322170161,132.8868064,15.25195371,100,37.7793154,36.7044729,29.47185039,65.81609891,43.85341361,29.74804146,25.06820576,98.62818531,45.24470343,27.58595054,23.4904229,96.10399542,18.92380595,29.82029816,17.84689559,29.00074153,15.55302896,22.95289827,15.88165037,26.14400223,90.11762896,3.936389578,134.9645318,14.98932494,100,37.51824025,35.84013699,28.84451459,64.50487653,43.46255013,29.61422405,24.89497113,97.94661211,45.82075651,27.71880394,23.32809159,96.57177806,18.79303239,29.54246668,18.51999562,29.71439325,14.30404008,22.79428154,15.90590298,26.78419212,90.30231448,2.606124689,135.1986054,14.88574074,R
100,37.17353964,39.1630633,32.56478754,71.22944431,45.14343976,30.20138824,25.80253753,100.9831552,48.66381273,28.26838744,24.71893711,101.541222,19.93347438,32.40169075,19.00371022,31.50357943,15.55435572,24.08570874,15.29676809,29.50633052,99.62749698,5.715807677,143.1267263,15.97444089,100,36.14259744,37.78212896,31.1656656,68.47012168,44.07490697,28.57323211,26.09442689,98.59291172,46.60875521,28.73478856,25.04099828,100.2185979,18.71199822,31.04389783,17.64714134,29.88348161,14.82155452,23.51560664,14.93469779,28.26224184,96.13348182,6.986947804,139.7389561,16.84179794,100,36.62837574,37.78212896,31.79398798,69.00278054,44.03669725,29.48652969,26.09442689,99.35402841,48.58055888,27.85729624,25.04099828,101.304512,19.46165453,31.04389783,18.44013875,29.88348161,16.41150809,24.70259086,14.93469779,29.95381233,98.49041538,6.154315534,140.8488461,15.26909814,100,37.54331921,38.33713468,33.3610386,71.06020614,45.28545817,30.93985114,26.27520998,102.4079605,50.02998252,30.44164093,26.27520998,106.5022463,20.30710734,32.57397827,19.34900967,31.66516019,16.8119457,25.02887948,15.52225211,29.46713105,102.140665,7.331317969,147.7909532,17.6718904,100,37.87942938,39.1630633,33.2224573,71.79126271,44.1746261,30.20138824,26.72704878,100.9000541,48.66381273,28.53265636,25.64808131,102.6482538,19.00371022,31.79651253,19.00371022,31.79651253,14.70820884,24.43149784,15.49748403,31.40532788,99.62749698,5.943013832,143.8221626,15.63927549,100,37.71840298,38.0834093,32.09312754,69.73768742,44.44263953,29.42354559,26.87097336,100.5863517,49.09886239,28.68630411,24.85204806,102.4719742,19.1060448,31.07583222,18.04910078,29.87508418,14.78741223,24.56306094,14.45163773,30.24621747,98.99432705,6.877760878,142.2913597,16.25380306,R
100,33.4788636,34.74469273,28.77088281,63.44208087,42.17387137,28.81874126,24.99454579,95.92635678,46.49451868,27.59739298,24.43697649,98.35693306,16.54622496,29.77518368,19.16994153,32.93940435,10.00700327,23.96242691,16.7394318,32.6029931,95.40778022,9.093101678,140.6608747,15.72052091,100,32.80467776,34.52956556,29.08046775,63.48669348,41.92356846,28.59274342,24.83978817,95.33241382,44.36323499,28.92403591,23.35235411,96.58061997,15.35960706,30.54147369,20.00381025,35.45016968,7.855030721,22.90115313,16.635787,32.90134509,96.06250513,7.855030721,141.6085802,14.06441518,100,32.14896929,35.61948467,28.97769857,64.33364974,41.2265181,28.77088281,24.99454579,94.96863331,45.56643084,28.49816687,24.64288341,98.6134661,16.40682715,30.73175413,20.15124704,34.83711654,7.903969377,24.88403141,16.98461147,35.2435087,97.54562164,10.32332945,142.777462,16.49060724,100,31.17195136,35.38928023,27.09550137,62.34390272,39.96282528,27.89652606,25.1616847,92.97861513,43.05291755,27.63209804,23.89397794,94.47152878,14.86988848,29.79780584,20.46720776,35.42587092,7.492804599,23.89397794,16.46844344,32.93688689,94.58117756,8.816759276,138.7219937,15.79925651,100,31.94991395,35.02529303,29.08046775,63.8998279,41.91274528,27.640728,24.93094366,94.38062024,45.2842992,29.54479409,23.35235411,98.00288548,16.19356068,31.4922371,20.95637264,36.24747112,7.620499143,24.49030317,18.07360065,35.24480853,95.34193135,11.14945695,143.6854409,14.28843589,100,31.59851301,35.76557882,28.37237458,64.01855055,40.89219331,27.89652606,25.1616847,93.90756936,42.84174934,26.75869898,22.78373731,92.19499489,13.97146504,30.72541869,20.46720776,37.36013242,7.492804599,22.78373731,16.23071487,32.04635623,95.30894574,5.576208178,137.8882772,16.46844344,R
100,35.67463735,38.04330624,30.98288776,68.59937714,41.98380326,29.13318969,25.77932088,96.6508277,45.51818603,28.03916294,23.5977051,97.06340735,17.92840345,30.35976787,17.92840345,30.35976787,12.98200044,23.37577818,15.6240606,30.5736219,95.11054908,7.68590852,136.092551,13.9807997,100,37.54652284,38.97201041,31.2586457,69.83741972,43.12534468,31.00839587,26.48026173,100.3440409,48.6391031,29.0708022,25.18515354,102.7094375,21.40802276,31.82531381,18.58926552,29.0708022,15.58527582,24.53998204,15.46720385,27.96186092,94.78702765,11.20603151,140.2511447,14.6140139,100,37.18368871,38.80563029,32.05780864,70.50378677,43.41537268,29.0235145,26.62556158,98.86740144,47.95887065,28.31236267,24.37233135,100.4481899,19.46837545,31.35636788,18.69126669,30.75961746,15.55207395,25.02887948,16.13694129,31.43016503,95.2049849,9.13249228,139.6239636,14.43973816,100,36.28817255,38.80563029,32.05780864,70.50378677,43.41537268,30.08952562,26.43344285,99.82352045,47.95887065,28.31236267,24.23888778,100.2496436,18.51692728,31.35636788,18.51692728,31.35636788,13.78303914,24.14311938,16.13694129,32.17322866,96.96032996,7.938208752,140.5599711,14.43973816,100,36.34883041,38.28232549,32.26075546,70.10193935,42.77722936,29.82016803,26.07698047,98.47737231,47.49287654,27.65473842,24.98185458,100.0221384,18.43920972,31.23814664,17.32980778,30.03112688,12.91687608,23.81754265,15.34234988,30.40419866,96.04328114,9.009338063,138.888686,14.83428239,100,36.68225625,39.57961251,31.56841432,70.65935513,42.77722936,29.68375994,26.26650843,98.47737231,47.31213184,27.65473842,24.04366363,98.89774905,18.43920972,30.93351847,17.32980778,29.74446299,13.22733929,23.4550599,15.01556344,29.82016803,97.30270484,7.831159783,137.9668014,14.24501425,R
100,31.15114384,34.58638082,26.38617951,60.80786997,37.52777038,25.53859913,22.93383165,85.9407635,39.48573617,23.66157866,21.2350293,84.34344067,14.83415374,23.79839587,17.07275227,26.34513279,5.372084703,19.82947002,13.69618236,33.03941279,90.03652425,2.548203517,119.8980227,18.7061204,100,31.49355229,34.56352391,27.39898005,61.88871703,37.82347024,26.63471433,22.34368713,86.74950626,39.65099658,25.0362898,21.46844139,86.08389919,14.69922093,25.77643799,18.11509069,29.20970606,5.00725796,20.04743243,13.97923624,30.43374005,88.9529526,6.072192196,125.0488337,14.62377532,100,31.59961812,36.34170749,27.4372453,63.65431106,39.78486356,26.55590245,22.96414061,89.2767858,40.2236267,26.57058639,23.18389816,89.95143654,14.13177884,24.793621,17.75282745,28.48351086,3.184553326,21.36263314,13.71151272,33.8522662,92.87428947,7.546373207,128.4342027,16.42914259,100,31.35777716,36.17907739,27.1752206,63.2160035,40.48936856,27.92310035,23.38806621,91.79548359,42.08431429,25.88077312,23.33618874,91.24813114,16.20472483,25.2326631,18.89779419,28.09617907,5.467651713,21.74091977,15.92813047,32.08371829,98.81509846,5.467651713,129.5162062,17.84218718,100,32.38331611,35.6239476,27.88363831,63.33401768,40.82176786,28.11771283,23.53367125,92.43526022,42.93461704,26.06115143,23.27110813,92.17342229,19.02950402,26.26469611,19.02950402,26.38917404,7.297481669,21.13073412,16.03914296,29.85594226,98.7309502,4.047914514,128.482235,17.29269838,100,32.57109381,36.58990101,26.43674817,62.89566089,39.64238575,27.87966278,24.26966292,91.75586628,42.08431429,25.88077312,23.98501405,91.81308579,16.20472483,26.12933367,18.89779419,28.98789303,3.595505618,21.74091977,15.06791426,33.14892389,98.3520314,5.684993546,130.7857446,17.26685188,R
100,36.74293885,39.79555428,33.67487911,72.95181628,44.53670409,30.9046858,27.57825921,102.6469715,48.68923177,30.02219982,26.85995196,105.3123492,20.97409871,33.14821953,18.81184258,30.69838777,17.26740083,24.07711224,15.12463767,28.10494444,96.47578773,12.85347044,145.5984541,15.63317016,100,38.29611186,39.61793061,34.54384507,73.4236909,46.77082297,30.99295751,27.52376691,104.8711398,49.00416858,31.46858056,27.03369033,107.182743,20.99216152,32.41416554,19.92734043,31.16819537,17.80131736,25.5070268,16.04589063,30.46119587,100.1571312,9.800833717,147.500055,16.47223142,100,38.04999289,39.37573216,33.04483877,72.12298289,44.5037668,30.79377398,27.1495555,102.2270676,49.87936822,30.02219982,25.03260609,104.7958924,20.85725045,31.91618033,18.88963138,30.02219982,17.26740083,24.41979244,16.09533379,29.49660647,98.62040147,10.64893179,143.9610419,15.94276794,100,37.8931889,40.50777677,33.25858288,73.4236909,45.78651436,32.09178126,26.34730281,103.9702091,49.97464237,30.21639258,26.17762253,106.2128695,21.10976558,31.85950959,18.93352333,29.46978385,17.00468454,24.23285036,15.05895706,27.07029656,98.7983137,9.800833717,146.1240412,15.15727556,100,37.39336099,40.05296407,33.13926919,72.58949637,45.77569907,30.99295751,27.16159631,103.7270482,49.97464237,30.21639258,25.19452463,105.2434674,20.12513525,30.89695432,19.01181528,29.68739952,16.68131617,22.97421909,15.22246845,25.68113822,100.586304,8.206001842,143.93565,15.73429028,100,37.41659185,39.11964083,32.08180744,70.61799591,45.21063995,30.6031473,26.9814881,102.5731519,48.17785466,29.21503144,26.01592276,103.192538,19.0787932,30.77618112,18.6953892,30.06201934,14.60751572,23.35632175,14.86955483,27.53056053,97.59032342,10.02067311,143.6221786,14.96663674,R
100,30.16253543,36.40005856,31.97003093,68.13990649,49.72890629,33.17160827,28.776773,111.5028423,52.44891789,35.45280004,30.96057483,118.764349,14.91106614,35.13137182,23.81582679,44.47888597,6.73613305,25.56182767,19.43581595,38.35753138,129.3355087,24.86445315,175.1718416,13.88689404,100,31.11358047,37.11625754,31.41132486,68.34132217,49.89115714,33.74741628,28.33190952,111.8883751,50.62112441,33.95768259,30.90168075,115.4007159,13.60401842,35.09943456,23.39962304,45.180061,6.365385653,25.11511093,19.09615696,37.73075843,129.5756107,21.97572206,171.5337613,14.65048137,100,29.63541703,36.14465475,30.50937576,66.45657727,48.85984734,32.59190352,28.33190952,109.6791029,50.11017118,34.54912938,30.41950995,114.8728464,12.55755546,34.2786508,23.39962304,45.43384962,3.309206425,25.13690278,19.09615696,40.82546924,129.9385092,23.11712226,171.5337613,14.79922104,100,30.41950995,33.43772564,29.98440515,63.22229999,49.26162535,32.70929177,28.33190952,110.1125696,52.05035628,34.54912938,29.48723902,115.9356279,9.476125092,35.09943456,22.37082286,48.02341526,3.309206425,26.16157388,19.09615696,41.9108087,131.7463197,21.16340353,174.1661467,14.6878075,100,30.16253543,35.03436831,30.14372499,64.79480743,51.17909799,34.34767387,28.83584273,114.1769584,52.97616409,36.03988564,30.01172181,118.9123063,11.71583768,34.09907465,25.06891532,47.84551591,3.840186682,26.62690382,19.28934953,42.60304612,136.4669735,22.39194381,177.8390156,14.20988824,100,29.63541703,35.76393363,29.61693532,65.0576854,49.26162535,32.70929177,28.27387209,109.9583119,51.5323242,35.41005508,29.48723902,116.3034239,12.55755546,33.25711298,22.85509593,44.0136895,6.365385653,24.15947338,17.91256045,35.59512631,132.2730831,22.19883156,172.412513,14.65048137,R
100,33.36139494,31.6617409,25.90203336,57.14254218,33.28602078,23.90735898,22.46290083,79.28117968,40.23283382,23.38808493,21.75602507,85.18307248,15.03519746,28.28164846,15.70698247,32.18626706,13.06899939,22.47532156,13.46862636,34.22034364,77.52631615,11.4040624,119.314792,13.06899939,100,32.9524869,32.27664905,26.65651181,58.24733832,33.93247435,23.61005331,22.89915671,80.06015248,39.52332291,23.84230898,22.17855259,85.30423777,13.32281469,29.00142081,16.0120305,35.21592695,12.04218454,23.62233423,11.44957835,36.12655362,80.06015248,11.92115449,121.6320252,13.62417656,100,32.71430468,31.95706436,25.52429424,57.074057,32.84858664,24.47889622,23.00728792,80.16767947,37.82374834,21.81654354,22.3152718,81.60980663,11.12677101,28.80570854,13.37271447,34.72947084,10.08936318,22.3152718,10.41144488,33.74101451,81.29229697,14.17177745,117.7757017,12.95471345,100,33.12910536,31.11436178,26.67127957,57.3304258,31.6216946,23.31800523,21.86209908,76.53034439,37.79615658,23.13529523,21.20935146,81.8653078,13.74214295,28.4422785,15.31230593,33.9515281,12.2090711,22.34211457,11.67605211,35.14909982,76.26301595,11.76656549,116.5558973,13.3704004,100,32.11148218,31.15515464,25.15871665,56.00324313,32.03893199,23.01164965,21.58540345,76.34810551,37.39393068,23.15725901,20.05799753,80.38974663,14.47189112,27.07920377,15.11850715,30.72056575,11.9684431,22.30413119,12.24607102,32.5195428,74.62172743,9.376100108,114.1648763,12.57935832,100,31.79028205,30.93944616,25.17049391,55.6604688,29.93275059,22.49560633,21.13644482,73.19516551,35.84547988,22.33023575,19.12333288,77.08861933,13.43056111,27.85464008,14.82954173,34.72503068,11.59397012,21.5646561,11.95079086,34.72503068,73.57228911,11.11521146,112.4999979,12.57542624,R
100,33.95091667,34.82650707,29.18150928,63.83037686,40.7179976,27.77732285,24.55910156,93.02647261,44.68442257,28.28088027,22.16249813,95.01306267,18.22513748,28.39709219,19.05799079,30.08645343,13.01426701,22.33167996,16.49044524,27.99664311,94.72542916,4.946182475,133.7933041,15.33746076,100,34.22982885,34.90771305,29.42124001,64.07920685,41.05250242,27.81704186,24.76085849,93.60184735,45.9241345,27.17348458,23.24667838,96.2219961,18.8882229,28.63037881,18.98923016,29.35614869,14.89637771,21.60461813,16.65465659,25.98597605,93.58651828,6.185384176,134.4129667,15.18256694,100,34.22982885,34.90771305,29.42124001,64.07920685,41.05250242,27.81704186,24.62528765,93.42285171,45.50568264,27.17348458,23.24667838,95.79361008,18.81211155,28.63037881,18.27045642,29.3398533,13.58674229,21.53810811,16.65465659,27.83422879,93.58651828,6.84596577,133.559905,15.79999454,100,33.64090734,34.3071286,28.39924395,62.32792325,41.28552786,27.52368524,24.20161152,92.93562766,44.72276095,27.20294444,23.64162606,95.50458571,18.95721158,28.02264463,19.15115229,29.81173091,13.8621733,21.23291237,15.40870775,27.13493697,94.10622856,8.650519031,134.3609447,13.76184262,100,33.33015903,34.18974016,29.00970615,62.94487333,39.97351083,28.02388148,23.97805602,91.90464425,43.02202456,28.26554058,23.01313394,94.166051,18.31766885,28.02388148,18.97424897,29.58237228,13.22963907,21.03677939,15.26637419,25.90509572,92.45066107,9.522902581,133.2662084,13.63472152,100,34.57178847,36.07218541,29.29243391,65.15218662,42.40118124,28.77086519,25.29825844,96.35385372,45.86642102,28.43559067,23.88197393,97.99003589,18.11288695,29.41280251,18.76975956,32.16680517,14.49030956,22.30845304,17.0802773,29.29243391,98.11357875,7.104458768,138.5788377,14.62897597,R
100,38.29408128,39.36112942,32.43651366,71.44736512,46.0500722,31.3250496,27.32850022,104.416832,49.20902858,29.47811259,25.59810102,104.0245319,22.02675484,33.18418833,19.83919808,30.72765787,17.50345057,24.10649761,15.80113392,26.35361692,100.5062859,7.30917824,146.0417875,16.20985141,100,39.52933774,40.05771674,32.40673638,72.03479199,46.33434788,30.50704818,27.53261588,104.1500635,49.57656919,29.69828364,26.82000586,105.8050996,21.14427861,34.24956995,18.93540922,31.83830412,16.63306154,25.29100627,14.87706251,27.43194784,102.8348362,7.65843666,149.4719134,15.31687332,100,38.89503603,39.89822457,31.67689953,71.24895222,45.16400265,31.50313575,27.42299314,103.7512573,49.37917715,28.82819885,25.92061374,104.0734915,20.15442588,31.86694536,18.86001676,30.45775745,17.56397172,23.8930307,15.85576902,25.87822514,100.8538034,8.382229673,145.9386869,15.25588828,100,38.73084976,40.21424177,32.80647284,72.74681635,46.51539877,30.64445692,27.64019924,104.5730277,50.48228283,28.43576305,26.9248047,105.6077727,20.17633665,33.16151329,20.09324912,33.0098207,16.39473513,25.38983056,16.15488282,28.43576305,100.7323231,7.688361907,149.3258056,15.37672381,100,39.52933774,40.05771674,33.26612308,72.95830374,46.39401866,31.62906875,27.53261588,105.2177551,50.28579172,29.69828364,27.04599228,106.8096421,22.11634341,33.21618642,19.98737639,30.95716173,17.97602303,25.61707482,15.91915206,28.61660111,101.256964,9.698658171,149.1049833,15.6386164,100,38.00439548,39.45996428,31.92315399,70.95986867,45.70171414,31.10534926,27.12176648,103.6321242,48.53901939,28.51153677,25.40445735,102.3443948,20.82875776,31.5169043,19.71637056,30.33633403,16.38485834,22.93880168,15.68160202,26.15425796,101.6706536,5.18134715,144.2239869,16.08722766,R
100,41.51468779,37.62490924,27.77220144,57.28663524,25.12707589,25.87650324,12.28194708,11.82899956,21.06336547,28.52392019,5.957619424,12.42010606,22.04504968,28.91606081,9.419823406,16.70831826,20.1186313,18.83964681,9.12538088,13.55024741,36.38915325,17.50629552,17.66156504,17.36929613,100,41.42849784,37.134855,27.00807627,56.11406126,24.38792821,26.72551869,11.54750602,12.71731869,20.71424892,28.99994848,5.450279438,12.29504871,20.09963743,29.24926877,7.7078591,17.23529691,19.01966186,19.12350064,8.974131473,13.78823753,36.30793463,17.21613593,17.36883192,16.74969786,100,40.82659905,36.07995338,27.76731799,54.9851294,23.28005977,25.9612371,10.93079627,12.71731869,20.71424892,28.99994848,5.450279438,12.29504871,20.3119922,29.26055103,8.750674045,17.94826295,19.01966186,19.12350064,8.974131473,13.78823753,34.54711021,17.21613593,18.33037727,16.35083831,100,41.11449374,36.05979644,26.80337065,55.02516987,24.20308179,25.76446591,11.98683176,12.62092876,19.83288804,28.78014562,5.099625319,12.20185934,20.15803903,29.0275762,8.301588567,17.00937196,18.42228618,18.82376638,8.103431399,13.68373065,34.89612161,17.36869797,18.19144359,16.2269084,100,41.58040163,36.80877298,27.77220144,56.59738453,24.08687994,26.39878604,11.11502317,12.58389476,21.06336547,29.48871166,4.817375987,12.42010606,21.44870288,28.92786087,8.625501081,16.70831826,20.1186313,19.44580683,9.12538088,13.44912475,36.91986611,17.50629552,18.4737936,17.03199614,100,41.11449374,35.80648817,27.55685775,54.56837386,23.81039036,25.76446591,10.84794714,11.90519518,20.2063604,28.94907768,5.099625319,12.20185934,19.94729379,29.0275762,7.941346397,17.00937196,18.87550381,18.82376638,8.906112738,13.12596403,34.28526306,17.08564756,17.40609026,16.62274482,S
